Freq kHz;"Mode";"Ident";"Notes";"Extension";"Type";PB low;PB high;Offset;"DOW";Begin;End
5872.4;"CW";"FSK";"6AM";;"T1";;;;;;
5894.5;"USB";"CIS-12 RUS";"12AM";;"T1";;;;;;
5906;"CW";"FSK";"12AM";;"T1";;;;;;
6078.5;"USB";"?strange digital";"7PM";;"T1";;;;;;
6085.5;"USB";"FSK";"1AM";;"T1";;;;;;
6208.5;"USB";"FSK";"10PM";;"T1";;;;;;
6220;"CW";"CW";"1AM";;"T1";;;;;;
6222;"CW";"CW";"2AM";;"T1";;;;;;
6230;"USB";"VMC AUS";"marine weather, 2AM";;"T1";;;;;;
6234;"USB";"SITOR";"2AM";;"T1";;;;;;
6243;"USB";"FSK";"6AM";;"T1";;;;;;
6250;"USB";"slot machine JPN";;;"T1";;;;;;
6257.8;"USB";"STANAG";"10PM";;"T1";;;;;;
6312;"CW";"SITOR";"intermittent, 10PM";;"T1";;;;;;
6316;"CW";"XSQ CHN";"10PM";;"T1";;;;;;
6317;"CW";"WLO USA";"10PM";;"T1";;;;;;
6325.5;"CW";"SITOR";"eventually gives cw id, 8PM";;"T1";;;;;;
6326;"CW";"XSG CHN";"10PM";;"T1";;;;;;
6337;"CW";"FSK";"1AM";;"T1";;;;;;
6339;"USB";"FAX";"10PM";;"T1";;;;;;
6348;"LSB";"FUE FRA";"STANAG 4285, along side BC station, 10PM";;"T1";;;;;;
6352.5;"CW";"WHL PACTOR";"7PM";;"T1";;;;;;
6357;"USB";"FSK";"10PM";;"T1";;;;;;
6366;"USB";"FSK";"6PM";;"T1";;;;;;
6368.5;"CW";"HEB? PACTOR";"6PM";;"T1";;;;;;
6385.1;"USB";"STANAG";"10PM";;"T1";;;;;;
6392.5;"USB";"8-chan FSK JPN";"10PM";;"T1";;;;;;
6399;"USB";"STANAG";"7PM";;"T1";;;;;;
6403.5;"USB";"STANAG";"10PM";;"T1";;;;;;
6413;"USB";"FAX";"10PM";;"T1";;;;;;
6417;"USB";"slot machine JPN";;;"T1";;;;;;
6419;"USB";"FSK";"2AM";;"T1";;;;;;
6423.5;"USB";"CFH CAN";"STANAG 4285, 10PM";;"T1";;;;;;
6430.3;"USB";"FSK";"5PM";;"T1";;;;;;
6434.5;"USB";"MS-188-110 AUS";"10PM";;"T1";;;;;;
6440;"USB";"STANAG-like";"narrow, 10PM";;"T1";;;;;;
6440.5;"CWN";"CW ident";"periodic, 10PM";;"T1";;;;;;
6443.35;"CW";"FSK";"10PM";;"T1";;;;;;
6445;"USB";"slot machine JPN";;;"T1";;;;;;
6456.5;"USB";"STANAG 4285";"6PM";;"T1";;;;;;
6462.3;"USB";"STANAG 4285";"10PM";;"T1";;;;;;
6470;"USB";"OTHR";"med, 2AM";;"T1";;;;;;
6478.5;"USB";"?wide-digital";"6PM";;"T1";;;;;;
6484.75;"USB";"CIS-12 RUS";"11PM";;"T1";;;;;;
6485.5;"USB";"FSK";"10PM";;"T1";;;;;;
6491.8;"USB";"STANAG?";"weak, 6PM";;"T1";;;;;;
6495;"CW";"CW";"10PM";;"T1";;;;;;
6501;"USB";"USCG";"marine weather, 10PM";;"T1";;;;;;
6507;"USB";"VMC AUS";"marine weather, 11PM";;"T1";;;;;;
6535;"USB";"HFDL";"2AM";;"T1";;;;;;
6559;"USB";"HFDL";"HI or SF, 10PM";;"T1";;;;;;
6565;"USB";"Flight Watch AUS";"11PM";;"T1";;;;;;
6565;"USB";"HFDL";"HI USA GS-02, 2AM";;"T1";;;;;;
6580;"CWN";"CW";"10PM";;"T1";;;;;;
6589;"USB";"HFDL";"10PM";;"T1";;;;;;
6607;"CWN";"CW";"8AM";;"T1";;;;;;
6628;"USB";"MWARA NAT-A/E";"Major World Air Route Areas, 7PM";;"T1";;;;;;
6652;"USB";"HFDL";"6AM";;"T1";;;;;;
6655;"USB";"MWARA";"Major World Air Route Areas, several locations, 2AM";;"T1";;;;;;
6661;"USB";"FSK";"10PM";;"T1";;;;;;
6661;"USB";"HFDL";"NY USA GS-04, 10PM";;"T1";;;;;;
6662.5;"USB";"defective 4-chan FSK";"freq wanders, 6AM";;"T1";;;;;;
6673;"USB";"MWARA";"Major World Air Route Areas, many locations, 2AM";;"T1";;;;;;
6676;"USB";"VOLMET Sydney";"H+00/H+30";;"T1";;;;;;
6679;"USB";"VOLMET";"2AM";;"T1";;;;;;
6686.5;"USB";"LINK-11";"10PM";;"T1";;;;;;
6724;"USB";"FSK";"10PM";;"T1";;;;;;
6765;"USB";"Bangkok Meteo";"with interval jingle, 6AM";;"T1";;;;;;
6781.5;"USB";"STANAG?";"weak, 6PM";;"T1";;;;;;
6789;"CW";"FSK";"9PM";;"T1";;;;;;
6793;"CWN";"RIS9 CHN";"9PM";;"T1";;;;;;
6793.5;"USB";"FSK";"12AM";;"T1";;;;;;
6799;"USB";"FSK";"10PM";;"T1";;;;;;
6801;"USB";"FSK";"7AM";;"T1";;;;;;
6805;"USB";"OTHR";"med, 2AM";;"T1";;;;;;
6812;"CW";"FSK";"8PM";;"T1";;;;;;
6813;"CW";"FSK";"8PM";;"T1";;;;;;
6826;"CWN";"CW";"4-char groups, 10PM";;"T1";;;;;;
6840;"CWN";"NYZ CW";"622AM";;"T1";;;;;;
6842.9;"USB";"STANAG 4285";;;"T1";;;;;;
6848.3;"USB";"CIS-12 RUS";"6AM";;"T1";;;;;;
6851.75;"CW";"FSK";"6AM";;"T1";;;;;;
6859;"USB";"FSK";"6AM";;"T1";;;;;;
6862;"CW";"FSK";"8PM";;"T1";;;;;;
6870;"USB";"OTHR";"fast, 11PM";;"T1";;;;;;
6875;"CW";"CW";"10PM";;"T1";;;;;;
6876;"CW";"FSK";"10PM";;"T1";;;;;;
6878.5;"USB";"FSK";"11PM";;"T1";;;;;;
6884;"USB";"STANAG 4197";"4-tone + burst, 10PM";;"T1";;;;;;
6903;"CWN";"CW";"6AM";;"T1";;;;;;
6904;"CW";"FSK";"8PM";;"T1";;;;;;
6907.5;"USB";"?wide-digital";"7PM";;"T1";;;;;;
6925;"USB";"OTHR";"10PM";;"T1";;;;;;
6928;"CWN";"V marker";"RUS, 5AM";;"T1";;;;;;
6933;"CW";"CW";"10PM";;"T1";;;;;;
6935.9;"USB";"STANAG?";"weak, 6PM";;"T1";;;;;;
6940.5;"USB";"FSK";"5PM";;"T1";;;;;;
6946;"USB";"FSK";"7PM";;"T1";;;;;;
6968;"CWN";"CW";"6PM";;"T1";;;;;;
6969;"USB";"CIS-12 RUS";"9PM";;"T1";;;;;;
6978;"USB";"OTHR";"fast, 11PM";;"T1";;;;;;
6991;"USB";"FSK";"9PM";;"T1";;;;;;
6994;"USB";"STANAG";"10PM";;"T1";;;;;;
7027.5;"CWN";"V marker";"RUS";;"T1";;;;;;
7035.15;"USB";"PSK31 (R1/3)";;;"T2";;;;;;
7038.6;"USB";"WSPR";;;"T2";;;;;;
7039.3;"CWN";"K marker";"Petropavlovsk-Kamchatsky RUS, 11PM";;"T1";;;;;;
7039.4;"CWN";"M marker";"Magadan RUS, 1AM";;"T1";;;;;;
7063;"USB";"CIS-12 RUS";"1AM";;"T1";;;;;;
7076;"USB";"JT65";;;"T2";;;;;;
7080.15;"USB";"PSK31 (R2)";;;"T2";;;;;;
7432;"USB";"FAX";"10PM";;"T1";;;;;;
7454;"USB";"FSK";"8PM";;"T1";;;;;;
7462.25;"USB";"STANAG";"8PM";;"T1";;;;;;
7476;"USB";"FSK";"5PM";;"T1";;;;;;
7508.7;"CWN";"D marker";"Sevastopol RUS, 7AM";;"T1";;;;;;
7508.9;"CWN";"S marker";"Severomorsk RUS, trace, 12AM";;"T1";;;;;;
7509.2;"CWN";"F marker";"Vladivostok RUS, 6AM";;"T1";;;;;;
7534;"USB";"FAX";"10PM";;"T1";;;;;;
7546.7;"USB";"STANAG";"9AM";;"T1";;;;;;
7554.02;"CWN";"CW";"10PM";;"T1";;;;;;
7554.9;"USB";"FUG FRA";"STANAG 4285, 6PM";;"T1";;;;;;
7583.3;"USB";"CIS-12 RUS";"6AM";;"T1";;;;;;
7591;"USB";"FSK";"11PM";;"T1";;;;;;
7596;"USB";"FSK";;;"T1";;;;;;
7600;"LSB";"HD2IOA";"watchlist, time signal, 1200-1300Z";;"T1";;;;;;
7609;"USB";"FSK";"9PM";;"T1";;;;;;
7633;"USB";"FSK";"6AM";;"T1";;;;;;
7662;"USB";"FSK";"7PM";;"T1";;;;;;
7682.35;"USB";"FSK";"10PM";;"T1";;;;;;
7699.3;"USB";"?CIS-12 RUS";"9PM";;"T1";;;;;;
7794;"USB";"FAX";"10PM";;"T1";;;;;;
7829;"USB";"FSK";"7PM";;"T1";;;;;;
7850;"USB";"CHU CAN";"time signal";;"T1";;;;;;
7878;"CW";"FSK";"4AM";;"T1";;;;;;
7879;"USB";"FAX";"6PM";;"T1";;;;;;
7895;"USB";"FSK";"10PM";;"T1";;;;;;
7930;"USB";"LINK-11";"6PM";;"T1";;;;;;
7945;"USB";"CODAR";"6AM";;"T1";;;;;;
7984.3;"USB";"CIS-12 RUS";"6AM";;"T1";;;;;;
7990.1;"CW";"FSK";"6PM";;"T1";;;;;;
8003;"CW";"FSK";"4AM";;"T1";;;;;;
8007;"USB";"FSK";"6AM";;"T1";;;;;;
8008.5;"USB";"4-chan FSK? JPN?";"7PM";;"T1";;;;;;
8018.4;"USB";"CIS-12 RUS";"9PM";;"T1";;;;;;
